"id";"danceability";"energy";"loudness";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration";"time_signature"
"0fioLzGM8ngbD1w6fMmm45";"0.453";0.496;-5.785;0.045;0.554;0.0;0.077;0.501;80.994;239317;4.0
"0Fpen1PTuEnCmOJtUU9Iud";"0.85";0.785;-4.963;0.345;0.037;0.0;0.155;0.718;145.063;343099;4.0
"0FuTx2s3YH1ppmtiM6l0zI";"0.623";0.654;-5.675;0.037;0.055;0.0;0.084;0.401;95.921;220291;4.0
"0fv2KH6hac06J86hBUTcSf";"0.621";0.73;-5.414;0.107;0.097;0.0;0.673;0.464;139.566;195320;4.0
"0Fv5N0cHBsl4bzCbollCAS";"0.812";0.522;-5.287;0.257;0.043;0.0;0.154;0.38;75.524;142907;4.0
"0fWBFDRTIuk8ZgNdZqhCer";"0.619";0.404;-8.333;0.441;0.014;0.0;0.115;0.566;90.008;268720;4.0
"0fySG6A6qLE8IvDpayb5bM";"0.768";0.652;-2.708;0.307;0.113;0.0;0.107;0.777;154.187;144935;4.0
"0FZ4Dmg8jJJAPJnvBIzD9z";"0.861";0.603;-5.788;0.176;0.052;0.0;0.092;0.504;98.043;228760;4.0
"0G149jkGWKwrPXUGkEDgWM";"0.839";0.437;-11.344;0.285;0.044;0.0;0.131;0.464;82.008;271307;4.0
"0G9rmRmQDFk9O2tzZLyRkc";"0.894";0.324;-8.24;0.179;0.04;0.0;0.126;0.407;139.972;315185;4.0
"0gb1J5UrTpzaU1s3nupgCd";"0.671";0.916;-4.014;0.04;0.028;0.008;0.24;0.803;126.01;189127;4.0
"0gbBzIqrECJOEPvQJIBFs5";"0.616";0.714;-7.792;0.098;0.016;0.0;0.082;0.24;128.924;234653;4.0
"0gD6lWJhbXHWNVwQziSVvl";"0.882";0.503;-6.618;0.179;0.224;0.0;0.108;0.176;95.011;175511;4.0
"0Gl5s8IhMmQE5YQwM8Qx1J";"0.277";0.394;-8.903;0.034;0.423;0.0;0.095;0.227;86.777;207787;3.0
"0Gux2yTMWYOlcBUNjGJu5p";"0.507";0.442;-7.279;0.367;0.013;0.0;0.174;0.107;173.03;227707;4.0
"0GVuLQtPXFaL18ijEOqoAa";"0.351";0.331;-10.316;0.038;0.3;0.0;0.092;0.191;161.564;234360;3.0
"0GxQ1A5L9xnMOytbP6eKBG";"0.799";0.597;-5.131;0.061;0.079;0.0;0.1;0.419;110.001;199849;4.0
"0H1Had94fszD13qsFsP1U5";"0.497";0.77;-4.298;0.076;0.047;0.0;0.102;0.47;167.892;213640;4.0
"0hCHNYL8ApQCGNwJrYN1FY";"0.771";0.761;-4.727;0.047;0.208;0.0;0.091;0.277;131.01;219664;4.0
"0HEckRWFSknIupbGzavk5d";"0.772";0.483;-10.06;0.056;0.052;0.0;0.377;0.479;120.005;277080;4.0
"0HEmnAUT8PHznIAAmVXqFJ";"0.887";0.48;-11.994;0.117;0.009;0.0;0.066;0.607;95.846;193200;4.0
"0hGH0S74Eoyv6mXZcOKtdQ";"0.442";0.737;-5.046;0.109;0.059;0.0;0.102;0.21;112.93;218320;5.0
"0hNduWmlWmEmuwEFcYvRu1";"0.783";0.467;-9.474;0.05;0.729;0.809;0.109;0.236;90.838;237793;4.0
"0hPLZrnDgtKxrym1BHjDhd";"0.872";0.591;-6.952;0.359;0.111;0.0;0.144;0.696;131.982;205352;4.0
"0HVv5bEOiI9a0QfgcASXpX";"0.7";0.909;-6.461;0.063;0.088;0.0;0.078;0.757;93.469;210747;4.0
"0hVXuCcriWRGvwMV1r5Yn9";"0.798";0.675;-5.041;0.044;0.091;0.0;0.089;0.842;101.956;219947;4.0
"0hWzB4dR1zwcokPvccww0k";"0.817";0.814;-3.985;0.185;0.32;0.0;0.152;0.247;109.994;196800;4.0
"0HZgYFimoJG9Ijy8InUWcV";"0.745";0.637;-5.959;0.051;0.656;0.0;0.099;0.446;89.995;205417;4.0
"0i0wnv9UoFdZ5MfuFGQzMy";"0.514";0.618;-4.585;0.032;0.175;0.0;0.117;0.401;84.259;150333;4.0
"0I20rLT2MJDhcF96AjbNYo";"0.69";0.622;-5.025;0.063;0.253;0.0;0.113;0.543;102.039;210400;4.0
"0ibOcbkp2XG46Do8jcy0bL";"0.792";0.454;-6.753;0.458;0.004;0.0;0.285;0.674;161.993;202963;4.0
"0IhTEIjFaRt3B2NQYf9azQ";"0.774";0.723;-5.545;0.05;0.04;0.0;0.1;0.769;121.057;191399;4.0
"0IqKeD8ZSP72KbGYyzEcAs";"0.566";0.664;-5.303;0.046;0.634;0.0;0.116;0.437;128.945;241688;4.0
"0jAfdqv18goRTUxm3ilRjb";"0.736";0.622;-4.653;0.133;0.024;0.0;0.151;0.506;191.971;192779;4.0
"0JcNysfWVWaMS7R6vzGB2k";"0.742";0.858;-4.946;0.048;0.083;0.0;0.364;0.64;95.049;194742;4.0
"0jdny0dhgjUwoIp5GkqEaA";"0.576";0.39;-7.202;0.03;0.491;0.0;0.111;0.319;73.433;230267;4.0
"0Jh6iWjna1wk5le0Ahn7No";"0.8";0.756;-4.4;0.037;0.687;0.0;0.111;0.456;113.204;193444;3.0
"0jiPKUSdsJNCxMPHjMqptk";"0.34";0.805;-6.3;0.053;0.275;0.0;0.099;0.341;126.865;164959;4.0
"0JiVRyTJcJnmlwCZ854K4p";"0.676";0.929;-3.194;0.046;0.186;0.0;0.121;0.157;97.019;161200;4.0
"0jOfl1nZf6sVBTG08Q4brn";"0.852";0.727;-4.851;0.267;0.096;0.0;0.154;0.496;130.014;232705;4.0
"0JoHqmlqE0W0i9prt6kcHR";"0.772";0.547;-6.373;0.054;0.098;0.0;0.107;0.096;130.099;278107;4.0
"0JP9xo3adEtGSdUEISiszL";"0.921";0.537;-5.723;0.08;0.556;0.004;0.102;0.711;128.009;135090;4.0
"0jqBo5RYn008f4ZY8kPewW";"0.742";0.72;-2.876;0.116;0.04;0.001;0.084;0.97;77.011;260320;4.0
"0JYAsQJWIuaYUvZGF1qapT";"0.684";0.791;-4.435;0.309;0.094;0.0;0.359;0.529;153.992;236948;4.0
"0k664IuFwVP557Gnx7RhIl";"0.767";0.889;-2.988;0.096;0.006;0.0;0.402;0.843;119.93;195145;4.0
"0KAzP1Rbp0Vz5pw8i1KDDI";"0.469";0.489;-6.071;0.031;0.841;0.0;0.103;0.201;74.013;123387;4.0
"0kCBorRrKZkSztd9m0QI3r";"0.938";0.5;-10.08;0.144;0.002;0.0;0.077;0.462;140.011;201707;4.0
"0kHTkvGavvk2MjBTSUtOZx";"0.599";0.734;-7.568;0.413;0.196;0.0;0.187;0.133;211.842;223787;4.0
"0kHyKhJMukHEPfeh8s7rdM";"0.688";0.688;-5.84;0.036;0.3;0.0;0.098;0.451;114.011;193321;4.0
"0KKkJNfGyhkQ5aFogxQAPU";"0.853";0.56;-4.961;0.041;0.013;0.0;0.094;0.86;134.066;206693;4.0
"0kLA41xkWzzYzMIEGFuDkP";"0.764";0.744;-5.529;0.448;0.162;0.0;0.122;0.507;87.538;182925;4.0
"0kN8xEmgMW9mh7UmDYHlJP";"0.578";0.574;-6.209;0.045;0.196;0.0;0.083;0.301;174.152;261240;4.0
"0KoiMHhqKLoL4xM54rcWYY";"0.842";0.801;-4.167;0.228;0.157;0.0;0.064;0.617;95.881;212500;4.0
"0L7loeTIg6akW84aEQZpCT";"0.746";0.877;-3.782;0.067;0.038;0.001;0.233;0.751;107.985;166138;4.0
"0L87MffumRNWrY2SNUFcvs";"0.743";0.659;-6.755;0.034;0.1;0.0;0.062;0.804;114.033;255160;4.0
"0l8vhDaEztxLCQsFOAX64d";"0.813";0.663;-7.84;0.043;0.071;0.0;0.115;0.343;140.016;165942;4.0
"0lizgQ7Qw35od7CYaoMBZb";"0.525";0.621;-7.364;0.116;0.049;0.0;0.294;0.591;191.9;204093;4.0
"0lJCqIx5BhZtf6QtYI2fbv";"0.73";0.538;-5.612;0.032;0.188;0.0;0.123;0.215;130.023;279613;4.0
"0LKErfBZ5FbBiLB4OcZRbL";"0.827";0.78;-3.315;0.133;0.044;0.0;0.133;0.658;80.015;172749;4.0
"0lLdorYw7lVrJydTINhWdI";"0.339";0.214;-11.714;0.038;0.908;0.0;0.341;0.363;94.775;206640;3.0
"0lMbuWUpfTWhEmOKxppEau";"0.753";0.76;-4.518;0.086;0.446;0.0;0.182;0.657;91.953;272653;4.0
"0lmdsH1MIoLsMymnNpd6HU";"0.68";0.774;-3.136;0.07;0.101;0.0;0.113;0.331;102.949;163841;4.0
"0LQ1J0BCzA2qnAgp9MkkNE";"0.719";0.825;-3.627;0.042;0.689;0.0;0.103;0.789;100.006;206550;4.0
"0lsRatBUs9HNIZAmoGABzk";"0.689";0.412;-7.523;0.03;0.488;0.0;0.066;0.537;126.754;184060;4.0
